What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
NA,Select---,demo teaching in php and git,Select---,NA,Select---,NA,Select---
none so far,Select---,simple and straightforward,Select---,none so far,Select---,chill and professional teacher,Select---
N/A,Select---,"She provides materials for us to understand the lessons properly, this makes her way of teaching very effective.",Select---,N/A,Select---,N/A,Select---
None,Select---,He gave activities after teaching for us to practice so that we can apply the lesson he taught,Select---,None,Select---,None,Select---
none,Select---,none,Select---,none,Select---,none,Select---
Need more class interaction,Select---,Mastery of the lesson,Select---,Non-interactive discussion,Select---,None,Select---
Make it more lively,Select---,Thorough and efficient,Select---,N/A,Select---,N/A,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
none,Select---,none,Select---,none,Select---,none,Select---
None.,Select---,Useful information about the course,Select---,none.,Select---,none.,Select---
More examples when teaching and advice,Select---,Specific and honest giving advice,Select---,The advice given is sometimes not necessary to the project,Select---,None,Select---
NA,Select---,NA,Select---,NA,Select---,NA,Select---
None,Select---,None,Select---,Nine,Select---,None,Select---
n/a,Select---,n/a,Select---,n/a,Select---,n/a,Select---
,Select---,,Select---,,Select---,,Select---
None,Select---,His teaching,Select---,None,Select---,None,Select---
none,Select---,none,Select---,none,Select---,none,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
Be more clear and sensitive,Select---,Encourages the class to ask questions,Select---,Rushes through the material,Select---,Less information dumping so that students can absorb more without being overwhelmed,Select---
none,Select---,easy to understand,Select---,none,Select---,none,Select---
N/A,Select---,Thorough and easy to understand,Select---,Less meeting,Select---,N/A,Select---
None,Select---,Nobe,Select---,None,Select---,None,Select---
N/A,Select---,N/A,Select---,"I dont like how sir is speaking fast when conveying the lessons, it's hard to keep up. ",Select---,N/A,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,The teaching itself,Select---,None,Select---,None,Select---
n/a,Select---,n/a,Select---,n/a,Select---,n/a,Select---
,Select---,,Select---,,Select---,,Select---
more lab time,Select---,speech,Select---,the volume of voice,Select---,none,Select---
N/A,Select---,Easy to understand and help student,Select---,N/A,Select---,N/A,Select---
None,Select---,Gives clear and concise instruction,Select---,None,Select---,None,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
None,Select---,Professor Mastery of lessons,Select---,None,Select---,None,Select---
None,Select---,the instructor displayed the code he was teaching,Select---,None,Select---,None,Select---
None or only small changes,Select---,Expounded on the topics by providing relevant and recent examples,Select---,None that I can remember,Select---,None,Select---
"This Course heavily relies on materials in order to keep up in learning, like Computer/Laptops. It would be nice for all the needs of the students to be provided in the computer lab. some of the computer does not work. and some of the computer is very slow for this course especially when it comes to virtual machine. and not all student have good laptop for them to keep up with this particular lesson.",Select---,Very good at explaining the course. and gives out activities regarding the lessons to practice at home.,Select---,none.,Select---,none.,Select---
None,Select---,None,Select---,None,Select---,None,Select---
N/A,Select---,Easy to understand,Select---,N/A,Select---,N/A,Select---
n/a,Select---,n/a,Select---,n/a,Select---,n/a,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
let's not force the quiz to continue or specially if there's only about 30 minutes or less that are left,Select---,he really do try to make everyone understand what the lesson is he tries to really reach a goal each lesson,Select---,none,Select---,none,Select---
None,Select---,None,Select---,None,Select---,None,Select---
N/A,Select---,None.,Select---,always not present in class.,Select---,"I'm really disappointed, I was really excited in learning the field of cyber security. but i learned nothing.",Select---
none,Select---,fun,Select---,none,Select---,none,Select---
None,Select---,Mastery of coding,Select---,None,Select---,None,Select---
To explain the topics in-depth,Select---,Gives sufficient information,Select---,Doesn't expand on the topics sometimes,Select---,None,Select---
None,Select---,Ppt,Select---,None,Select---,None,Select---
New updated computer,Select---,He teaches very nice,Select---,Constantly leaving,Select---,None,Select---
None,Select---,"Ma’am explained every lesson thoroughly, ensuring that the concepts were clear and easy to understand",Select---,None,Select---,None,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
NA,Select---,NA,Select---,NA,Select---,Na,Select---
do not set a goal if you cannot squeeze it into the lesson,Select---,I like him in general he teaches well still always aligns with the topic no extras,Select---,none,Select---,none,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
None,Select---,Coding examples,Select---,None,Select---,None,Select---
NA,Select---,NA,Select---,NA,Select---,NA,Select---
none,Select---,she teaches well,Select---,none,Select---,none,Select---
None,Select---,Explains each topic with relevant details and expounds more,Select---,None,Select---,None,Select---
"It would be nice to know, where to use the lesson, what use it has for the course I am taking. I'm somewhat lost on where this will be used.",Select---,It's Informative,Select---,"Not really interactive. as a person that easily gets distracted, i find it hard to keep up.",Select---,"I wish it was more fun, engaging or interactive.",Select---
none,Select---,clear and concise,Select---,none,Select---,none,Select---
do not overcrowd our brain,Select---,he teaches and tries,Select---,none,Select---,none,Select---
None,Select---,Ppt,Select---,None,Select---,None,Select---
none,Select---,he was willing to listen about the class presentation,Select---,none,Select---,none,Select---
None,Select---,Efficient,Select---,None,Select---,He is the goat,Select---
more lab,Select---,Very easy to get,Select---,none,Select---,none,Select---
N/A,Select---,"Explaining how business works, and make a student what really is like to handle a business, it's an eye opener.",Select---,none.,Select---,none.,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
None,Select---,Lesson,Select---,None,Select---,None,Select---
none,Select---,explained it slow but efficient,Select---,none,Select---,none,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,Teaching,Select---,Absences,Select---,"All in all, I love the lessons",Select---
more class time,Select---,none,Select---,highly informative,Select---,none,Select---
n/a,Select---,n/a,Select---,n/a,Select---,n/a,Select---
None,Select---,"He interacts with the students, gives sufficient information at a reasonable pace, etc.",Select---,None,Select---,None,Select---
more class time,Select---,teaches great points,Select---,less meeting time,Select---,none,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
N/A,Select---,Easy to understand and approach professor for more information,Select---,N/A,Select---,N/A,Select---
No I think the current one is already best to improve this course,Select---,The best thing about it is how well instructor's displaying certain moods like it cares for students at all,Select---,"The thing I like my instructor's teaching is how we socialize people by interacting ,how well behaved people are",Select---,NA,Select---
None,Select---,The way of teaching,Select---,None,Select---,None,Select---
Na,Select---,Na,Select---,Na,Select---,Na,Select---
None,Select---,taking the time to explain a problem,Select---,None,Select---,None,Select---
none,Select---,the clearness of teaching,Select---,none,Select---,none,Select---
None,Select---,Ppt,Select---,None,Select---,None,Select---
None,Select---,Interactive,Select---,None,Select---,None,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
Nothing comes to mind,Select---,Really finds a way to make students understand,Select---,Nothing,Select---,nothing,Select---
None,Select---,Networking,Select---,None,Select---,None,Select---
nothinf,Select---,passionate about what he teaches,Select---,nothing,Select---,nothing,Select---
Na,Select---,Na,Select---,Na,Select---,Na,Select---
good pc for lab activities,Select---,giving sources of said ppt,Select---,none,Select---,none,Select---
None,Select---,None,Select---,None,Select---,None,Select---
none,Select---,exciting,Select---,none,Select---,none,Select---
None,Select---,Unique thinking,Select---,None,Select---,None,Select---
Please give us,Select---,He is passionate to this subject,Select---,The way he talks make me feel very sleepy,Select---,Try to be more energetic sir,Select---
