What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label
Include more learning materials or fun class activity during the session.,Boredom,The repetitive explanations gave me time to doodle in my notes.,Boredom,READING PPT,Boredom,There are moments where the explanations feel too dry.,Boredom
to improve his teaching skills so that the student wouldn’t feel bored in his class hours,Boredom,I guess I liked how the lectures didn’t surprise me—just steady and boring.,Boredom,Slower pacing.,Boredom,The monotone delivery makes me feel sleepy even if the content is important.,Boredom
"Activities should not just be about explaining each line of code. Instead, there should be other ways to make this course engaging and fun so that students will have the courage to study. In discussions, it shouldn't just be -mostly- reading in front, there should also be a way to better understand the topic, especially it's difficult for beginners.",Boredom,I appreciated that I could catch up on sleep during the long talks.,Boredom,Fast teaching,Boredom,"Sometimes I feel overwhelmed with the length of the lectures, making me less engaged.",Boredom
Include f2f fun group activities,Boredom,"The slow pace was boring, but at least it wasn’t stressful.",Boredom,Speech only,Boredom,Reading too much from slides makes the class feel dull.,Boredom
MORE PUZZLES!,Boredom,"I liked how nothing ever felt urgent—it was dull, but relaxing.",Boredom,Speed of teaching,Boredom,"It would be nice if there were more activities, because just listening gets boring.",Boredom
"make it more interactive, its too boring, but a very important subject",Boredom,"The best part was how unexciting everything was, no pressure.",Boredom,The rare speed-teaching,Boredom,"The pacing feels slow, which makes the class harder to enjoy.",Boredom
there's no group activity or such that can also help students to brainstorm,Boredom,"I liked that the lessons were predictable, though very boring.",Boredom,He goes through the material too fast.,Boredom,I find it difficult to stay awake during lectures that are too text-heavy.,Boredom
NEEDS MORE ENGAGING,Boredom,The endless slides gave me time to think of other subjects.,Boredom,Reading the powerpoint,Boredom,"The lecture sessions are too long without breaks, which becomes boring.",Boredom
Sometimes I find the lectures drag on and it’s hard to stay focused.,Boredom,"Honestly, I liked that I could just sit there without much happening.",Boredom,He gives many assignments,Boredom,I tend to get distracted easily when the discussions go on without interaction.,Boredom
Could be more fun; sometimes the pace is a bit slow.,Boredom,"The calmness of the teaching style, though boring, was easy to endure.",Boredom,visual aids are wordy,Boredom,Sometimes I wish the professor added more energy when presenting.,Boredom
Some topics feel repetitive and make the class less exciting.,Boredom,"I liked how there wasn’t much activity, just plain lectures.",Boredom,Fast paced,Boredom,"The classes feel stretched out, which makes me lose focus.",Boredom
More interactive activities would help prevent boredom.,Boredom,"The best thing was the quiet atmosphere, even if it was dull.",Boredom,Fast phase,Boredom,It’s hard to stay engaged with so much reliance on PowerPoints.,Boredom
"Occasionally, I zone out because the examples are too long.",Boredom,"The lessons were boring, but that meant less stress for me.",Boredom,The Pacing sometimes is too fast,Boredom,"Some discussions feel dragged, and I lose my motivation to listen.",Boredom
"The subject is interesting, but the delivery can feel monotonous.",Boredom,I liked how I could focus on my phone during lectures.,Boredom,How fast he goes through the topic,Boredom,The lack of variety in teaching style makes the subject less exciting.,Boredom
Sometimes it feels like we’re just going through slides without discussion.,Boredom,"The best part was how the lessons were always the same, though dull.",Boredom,The amount of assignments,Boredom,Lectures that are just reading slides make it hard to concentrate.,Boredom
A bit more energy in teaching could make the lessons livelier.,Boredom,I appreciated the long pauses—it gave me time to zone out.,Boredom,He explain very well but very fast,Boredom,I feel drowsy in class when there isn’t much movement or activity.,Boredom
Some coding explanations feel slow and repetitive.,Boredom,The boring routine actually made the class predictable.,Boredom,Fast paced for other students,Boredom,"The class sometimes feels repetitive, so it’s tough to stay attentive.",Boredom
The lectures could include more activities to keep students alert.,Boredom,"I liked that there wasn’t much excitement, it was very steady.",Boredom,fast-paced teaching,Boredom,I get bored when everything is explained in the same tone.,Boredom
Sometimes it’s hard to stay awake during long explanations.,Boredom,"I guess I liked that the teacher kept everything calm, though boring.",Boredom,Long sessions,Boredom,I lose track of the topic when there’s too much monotone talking.,Boredom
Could use more games or challenges to make the class fun.,Boredom,"The monotone voice was boring, but strangely comforting.",Boredom,Sobrang bilis magturo (maybe I'm just slow to keep up),Boredom,Long lectures with no interaction make it hard to learn.,Boredom
"The pace is steady, but sometimes a bit too slow.",Boredom,I liked how nothing unexpected ever happened in class.,Boredom,Fast-paced teaching,Boredom,Sometimes it feels like I’m just sitting there waiting for the class to end.,Boredom
Some lessons feel like we’re covering the same thing multiple times.,Boredom,The dull pace gave me a chance to rest mentally.,Boredom,super fast in teaching,Boredom,The lessons would be better with more variety instead of plain lectures.,Boredom
Adding small projects or exercises would make the course more engaging.,Boredom,I liked that I never had to worry about missing anything exciting.,Boredom,Fast-paced teaching,Boredom,Reading through lengthy slides makes the class dull.,Boredom
Lectures could use more variety to prevent boredom.,Boredom,"Honestly, the boredom made the class easy to handle.",Boredom,Too much lectures,Boredom,It’s hard to concentrate when there aren’t engaging examples.,Boredom
Sometimes I lose focus because the material feels too repetitive.,Boredom,"The best part was the long, boring slides—they were consistent.",Boredom,Fast and sometimes not understandable,Boredom,Some classes feel like they move too slow and repetitive.,Boredom
A few more interactive tasks could make learning enjoyable.,Boredom,"I appreciated the stability, even if it was dull.",Boredom,Fast-paced,Boredom,"The discussions feel too formal, making it less interesting.",Boredom
Could be livelier if more examples or real-life applications were included.,Boredom,"I liked the routine, though it got boring quickly.",Boredom,Fast paced.,Boredom,I often get sleepy when the professor just lectures the whole time.,Boredom
"Occasionally, explanations are too long without student participation.",Boredom,The best part was being able to just sit quietly.,Boredom,The way he talks make me feel very sleepy,Boredom,The course could be more fun if there were activities to break the monotony.,Boredom
Sometimes the content feels dry and could use more excitement.,Boredom,I liked how the class didn’t require much attention.,Boredom,His teaching is somewhat old-fashioned. He doesn't usually interacts unless the student would do so.,Boredom,It gets boring when there’s no student participation.,Boredom
