What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label,
Nothing much to improve since it provides students necessary knowledge about the course.,Satisfaction,"The instructor always keeps his class engaged in every discussion, explains concepts clearly, provides clear feedback for every student, and motivates us.",Joy,Nothing,Null,Nothing,Null,
Try to simplify some topics when discuss for the student to comprehend well,Disappointment,A person who understands a lot of students situation and would give you at-ease tasks.,Joy,None,Null,none,Null,
Atleast try to be more open on new things in innovation.,Disappointment,Giving a lot of time.,Satisfaction,"Only attending on proposal and defense, though I can understand, there should be atleast consultation with students regarding on their progress.",Disappointment,"I have, but will not. ",Irrelevant,
Try to atleast to share the topics fully and not leaving half-baked answers.,Disappointment,"consultating with students prior to systems, schedules and etc.",Satisfaction,Dissiminating information took too long,Disappointment,"I can, but I can't",Irrelevant,
NONE,Null,Explains it where he also usually includes his experience that is related to the topic.,Satisfaction,NONE,Null,"Sure im bias, I might get low grades but that's my fault. Still, the only teacher that I may find his teaching method quite effective.",Acceptance,
Don't depend fully on group presentation,Disappointment,"Not too hard exams, in the middle perhaps",Acceptance,Does not usually gives samples real-time when it's readily available. Like opening the sql and giving out samples.,Disappointment,none,Null,
Adapt new teaching method,Disappointment,Gives you multiple chances,Joy,His teaching is somewhat old-fashioned. He doesn't usually interacts unless the student would do so.,Boredom,none,Null,
To ease the tasks,Disappointment,Very good at handling on consultation and open on new things.,Satisfaction,"The voice is low, this can be my disadvantage when i am listening because of my severely hearing loss of my right ear.",Disappointment,none,Null,
None,Null,"[PROFESSOR] taught us everything that might help in creating our system, especially the most important and necessary modules.",Joy,None,Null,None,Null,
None,Null,"If [PROFESSOR] forgets to teach a topic that he taught to another section, he makes sure to teach it to us as well, even if we have already moved past that topic.",Satisfaction,None,Null,None,Null,
I hope that the professor will always be on class.,Disappointment,None,Null,None,Null,None,Null,
I hope the professor will have more teaching interaction with their students.,Disappointment,None,Null,"Throughout the whole semester, ma'am [PROFESSOR] mostly relied on student reports or presentations for our class meetings.",Disappointment,"I hope that if she requires students to create a system, she ensures that she teaches them well first.",Disappointment,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,You did best [PROFESSOR]!,Joy,None,Null,Napakagaling ni [PROFESSOR]!,Satisfaction,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None.,Null,None.,Null,None.,Null,None.,Null,
None.,Null,None.,Null,None.,Null,None.,Null,
None.,Null,"It is well-taught, well-explained, engaging, and humorous making challenging lessons enjoyable.",Joy,None.,Null,The instructor's ability to breakdown difficult topics into simple examples was invaluable.,Satisfaction,
None.,Null,None.,Null,None.,Null,None.,Null,
I hope the professor would actively ask students questions as well.,Disappointment,[PROFESSOR] is really good at explaining the topic.,Satisfaction,"Maybe it’s his voice, sometimes it sounds choppy.",Boredom,None,Null,
None.,Null,None.,Null,None.,Null,None.,Null,
I hope the professor assigned to that course or subject can be changed.,Disappointment,Nothing,Disappointment,She's not teaching actually.,Disappointment,Just replace the professor with someone more knowledgeable in that course.,Disappointment,
none,Null,everything,Joy,none,Null,none,Select---,
None,Null,"[PROFESSOR] always asks us about the group project or activity, checking on our progress and always reminding us.",Joy,None,Null,None,Null,
Time management,Disappointment,His consideration of someone's concern and his way of teaching,Joy,N/A,Null,None,Null,
None,Null,His mastery of the subjects and his way of teaching.,Satisfaction,None,Null,None,Null,
Be more on time during class schedule,Disappointment,The class is engaging.,Joy,None,Null,None,Null,
Time management,Disappointment,His way of teaching,Satisfaction,None,Null,None,Null,
I hope the class would be more engaging rather that just having all the students report.,Disappointment,The instructor is professional,Acceptance,None,Null,None,Null,
None,Null,The instructor gives ample time explaining the topics and gives many examples. Also he addresses the students concern.,Satisfaction,None,Null,None,Null,
None,Null,Subject mastery,Satisfaction,Subject mastery,Irrelevant,None,Null,
N/A,Null,Very Informative,Satisfaction,N/A,Null,N/A,Null,
To explain the things needed for the subject more clearly.,Disappointment,None,Null,None,Null,None,Null,
Time management,Disappointment,Engaging way of teaching the class,Joy,N/A,Null,N/A,Null,
Time management,Disappointment,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,Very Informative,Satisfaction,N/A,Null,N/A,Null,
None,Null,That he still tries to attend class and give quizzes despite the hectic schedule,Acceptance,None,Null,None,Null,
na,Null,approachable,Joy,na,Null,na,Null,
None,Null,Subject mastery,Satisfaction,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,Very Informative,Null,N/A,Null,
HANDS ON PRACTICE OF DATABASE QUERY,Disappointment,BEHAVIOR TOWARDS STUDENT,Satisfaction,NONE,Null,NONE,Null,
na,Null,na,Null,na,Null,na,Null,
Nothing at all keep up the good work,Satisfaction,I love the way the professor teaches us how to think critically in solving problems.,Joy,N/A,Null,N/A,Null,
N/A,Null,Very Informative,Satisfaction,N/A,Null,N/A,Null,
na,Null,na,Null,na,Null,na,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,The instructor is really understanding and tries to adjust to students for better learning.,Joy,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
na,Null,na,Null,na,Null,na,Null,
None,Null,Subject mastery,Satisfaction,None,Null,None,Null,
na,Null,na,Null,na,Null,na,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,Very Informative,Satisfaction,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
na,Null,na,Null,na,Null,na,Null,
NONE,Null,BRIEF AND CONCISE,Satisfaction,NONE,Null,NONE,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
Teach and explain the topic properly,Disappointment,None,Null,None,Null,None,Null,
N/A,Null,Transparent,Satisfaction,N/A,Null,NA,Null,
NONE,Null,NONE,Null,NONE,Null,NONE,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,good listener,Joy,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,Subject mastery,Satisfaction,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,Teaching mastery,Satisfaction,None,Null,None,Null,
"As usual , it's already good as the current one",Acceptance,The best thing about my instructor's teaching is he calls student one by one and discuss and explaining about this subject,Satisfaction,My instructor's teaching is so energetic to anyone and teach in a charismatic way,Joy,NA,Null,
None,Null,Well explained,Satisfaction,None,Null,None,Null,
Enjoyable learning.,Joy,The way she teaches and explains her topic.,Satisfaction,None,Null,None,Null,
Nothing,Null,im neutral about it,Acceptance,Nothing,Null,"Nothing, thats all",Null,
NA,Null,NA,Null,NA,Null,NA,Null,
None,Null,Topics are well explained,Satisfaction,None,Null,None,Null,
MORE ACTIVITIES,Disappointment,Very Understanding,Joy,NA,Null,NA,Null,
None,Null,Using true to life scenarios as an example while explaining,Satisfaction,3 hours straight teaching,Boredom,None,Null,
Invest more on student interaction,Disappointment,Giving many information and explains well,Satisfaction,Not so much interaction with student,Disappointment,Nothing,Null,
/,Irrelevant,"When the instructor explains how to construct a code properly, and hands on.",Satisfaction,"Assertive, and concise",Irrelevant,None,Null,
None,Null,Being creative in his teachings,Joy,None,Null,None,Null,
"Though this course may require memorization to specific parts of the topic, I personally think that having these lessons applied on the tests/exams/quizzes would be more effective ",Disappointment,Good explanation with the proctor using real life examples to apply to the topic,Satisfaction,The requirement of memorization,Disappointment,"Expand the tests/exams/quizzes beyond memorization of the meaning behind the topics, rather have it as an applied situation in real life happenings ",Acceptance,
None,Null,She's good in explaining,Satisfaction,She explains fast,Disappointment,None,Null,
Nothing I'm satisfied,Satisfaction,I like because I learn a lot,Joy,Less interaction to students,Disappointment,No,Null,
NA,Null,Uses clear images during visual presentations,Satisfaction,NA,Null,NA,Null,
None,Null,Well explained topics,Satisfaction,None,Null,None,Null,
None,Null,Well explained topics,Satisfaction,None,Null,None,Null,
The attendance of the professor,Disappointment,The real life examples he shares,Satisfaction,His several absences,Disappointment,Nothing,Null,
Improve the quality of teaching,Disappointment,N/A,Null,N/A,Null,N/A,Null,
None,Null,Being creative in his teachings,Joy,None,Null,None,Null,
More explanation on lessons,Null,On time,Acceptance,N/A,Null,N/A,Null,
none,Null,The way she give examples related to real life situations,Satisfaction,"Sometimes, she talk too fast and cannot keep up",Disappointment,none,Null,
None,Null,Giving clear explanations,Satisfaction,Focus on memoralization,Disappointment,None,Null,
nothing,Null,friendly,Joy,humor and sarcasm,Irrelevant,none,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
advance heads up to students when the class schedule is cancelled,Disappointment,gives students sufficient time to answer quizes and exams,Acceptance,none,Null,None,Null,
"none, the teaching methods are great and very clear. pogi mo sir",Satisfaction,the hands on demo of building a websites provides good info and real time practice,Satisfaction,none,Null,none,Null,
N/A,Null,Lessons are posted on e-class for us to review at home,Satisfaction,N/A,Null,None,Null,
nothing,Null,focus on her work,Acceptance,Need on time,Disappointment,Nothing,Null,
"none, the teaching method is exquisite and very formal and accommodating to the students learning abilities",Satisfaction,"the clear presence of knowledge in the subject, and the interactive classes",Satisfaction,none,Null,none,Null,
More activities because his activities are fun for me to do,Joy,The activities,Satisfaction,None,Null,None,Null,
more cybersecurity lessons,Disappointment,consistent and uses real world examples,Satisfaction,none,Null,none,Null,
None,Null,Outstanding,Joy,None,Null,None,Null,
I would like for sir to explain his lessons more clearly,Disappointment,He gives constructive criticism about our work,Satisfaction,The requirements were a bit stressful to do,Disappointment,None,Null,
N/A,Null,"I like how Sir is very careful with his words when we're discussing sensitive topics, and he doesn't show favoritism. He treats us all equally.
",Joy,Nothing.,Null,N/A,Null,
"do something about the lab, no knowledge being gained from it",Disappointment,"none, there was no teaching, not even a single knowledge given ",Disappointment,a lot. doesnt show any mastery in the course.,Disappointment,"this instructor doesnt have respect for her students and unreliable when it comes to consultations. rarely provides useful info in defenses, and focuses more on criticizing the work, even when its highly irrelevant. ",Disappointment,
more financing techniques,Disappointment,the hands on review of the works and early feedbacks,Satisfaction,none,Null,none,Null,
Explain the lessons more clearly and attend the class,Disappointment,She gave a lot of time to do our final output,Acceptance,She didn't met us often on the final terms,Disappointment,None,Null,
Advance the lessons and give more time to teach,Disappointment,None,Null,None,Null,None,Null,
different approach to solving the theorem and a much more learnable method of instructions,Disappointment,attentive and engages questions,Joy,cant hear his voice sometimes,Disappointment,none,Null,
None,Null,He explains the lessons carefully,Satisfaction,None,Null,None,Null,
Speak more clearly and louder because sometime i can't understand what he is saying,Disappointment,He always gives us chance to pass our exams and is always understanding to us,Joy,He speaks in a monotone and it makes us sleepy,Boredom,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
Meet the students more,Disappointment,None,Null,She doesn't meet the class,Disappointment,None,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
None,Null,He only do reporting but gives us enough time to do our reports,Acceptance,None,Null,None,Null,
