School Year,Semester,Course,Course_code,Subject_Description,What changes would you recommend to improve this course?,Label,School Year,Semester,Course,Course_code,Subject_Description,What did you like best about your instructors teaching?,Label,School Year,Semester,Course,Course_code,Subject_Description,What did you like least about your instructor’s teaching?,Label,School Year,Semester,Course,Course_code,Subject_Description,"Any further, constructive comment: ",Label
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,New updated computer,Disappointment,,,,,,The only thing I can mention is that the teacher was consistent in being absent.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,He's teaching too fast probably due to the short class time.,Disappointment,2024-2025,Summer,Bachelor of Science in Computer Science,PL 129,Programming Languages,Early announcement 🙏,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,MAD 121,Mobile Application Development,do not set a goal if you cannot squeeze it into the lesson,Disappointment,,,,,,None. The lessons didn’t make sense to me.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Discussions can be slightly too fast at times.,Disappointment,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 105,Application Development and Emerging Technologies,No self study for this course pls (like watch recorded videos or what) we should meet f2f always,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 131,Automata Theory and Formal Languages,"It would be nice to know, where to use the lesson, what use it has for the course I am taking. I'm somewhat lost on where this will be used.",Disappointment,,,,,,"Nothing, except that I had more free time due to lack of teaching.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,Not much clarification on questions,Disappointment,2024-2025,Summer,Bachelor of Science in Computer Science,AC 128,Algorithms and Complexity,This summer class is bit draining since it's my first. and it's like it doesn't have rest even alternate schedule.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,do not overcrowd our brain,Disappointment,,,,,,"I liked that the slides were colorful, but they didn’t help me learn.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,Teaching style,Disappointment,2024-2025,Summer,Bachelor of Science in Computer Science,PL 129,Programming Languages,Late announcements.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,more class time,Disappointment,,,,,,None. The teaching felt incomplete.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,Short period of time for the activities,Disappointment,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 132,Software Engineering 2,Should change the handlers of the subject as this instructirs does absolutely nothibg to the students benefit,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,MAD 121,Mobile Application Development,more class time,Disappointment,,,,,,"Honestly, I can’t say I liked any part of it.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,MAD 121,Mobile Application Development,"Sometimes, we are afraid to ask po kasi baka mabara po huhu",Disappointment,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 138,CS Elective 3,Appear more in class,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,MAD 121,Mobile Application Development,good pc for lab activities,Disappointment,,,,,,The best part was that the class didn’t last too long.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,Can be complex sometimes,Disappointment,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 132,Software Engineering," It would be very helpful if the professor could be more present, establish clear communication channels, provide timely and detailed instructions, and offer more availability to support students. These changes would greatly enhance the learning experience and help students succeed in a subject as important as Software Engineering.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,MAD 121,Mobile Application Development,Show up more,Disappointment,,,,,,"Nothing, the teaching was ineffective.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 104,Information Management,He often and mostly do not attend our classes,Disappointment,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 130,Information Assurance and Security 1,relies on the ppt,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 131,Automata Theory and Formal Languages,more lesson materials,Disappointment,,,,,,None. The explanations left me even more confused.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,surprise quiz,Disappointment,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 132,Software Engineering,more time,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,"open-communication between the teacher and the students, and interactive discussions",Disappointment,,,,,,"I liked that attendance was easy, but I didn’t learn anything.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,Masyadong mabilis si sir magturo,Disappointment,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 132,Software Engineering,"Ahmm, not a big fan of the praying method. were we have to clap on time to avoid leading the prayer.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 100,Introduction to Computing,incorporate group/individual activities,Disappointment,,,,,,"Nothing, I felt unsupported in class.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 100,Introduction to Computing,Soft spoken,Disappointment,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 132,Software Engineering,"i don't like the thumbs up as a way to pick a prayer leader, too spontaneous",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 131,Automata Theory and Formal Languages,make his voice a bit louder,Disappointment,,,,,,None. The instructor didn’t explain lessons well.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,time due to busy schedules,Disappointment,2024-2025,2nd Semester,Associate in Computer Technology Major in Application Development,,,More programming language,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Provide fast internet connection to the instructors,Disappointment,,,,,,"The teaching was too dependent on slides, nothing to like.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,Little engagement with students,Disappointment,2024-2025,2nd Semester,Bachelor of Science in Information Technology,CC 102,Computer Programming 2,Not teaching.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 104,Information Management,be patient with the class,Disappointment,,,,,,I didn’t find anything worth liking.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,Some profs solely rely on videos/textbooks,Disappointment,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 132,Software Engineering,"i also remember there was a time when he promised our group that he would send an example or some kind of reference to help us with our system, but he never got around to it. maybe it was because he was busy, which is understandable but still, it would’ve really helped us. HAHHAHHA

",Disappointment
